kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(B),recv_bytes(B),cost(ms),memory(KB)
wasm,test_protocol,50,10,1024,16,23548882,1266763,7090.399,35016179
wasm,test_protocol,50,10,1024,256,23561173,1266763,7137.0,35028472
wasm,test_protocol,50,10,1024,1024,23593968,1266763,7148.6,35061309
wasm,test_protocol,50,10,1024,2048,23634932,1266763,7235.8,35102297
wasm,test_protocol,50,10,2048,16,34211826,1398859,8989.699,45816515
wasm,test_protocol,50,10,2048,256,34224114,1398859,9004.199,45828805
wasm,test_protocol,50,10,2048,1024,34252787,1398859,9134.9,45857496
wasm,test_protocol,50,10,2048,2048,34293742,1398859,9013.699,45898459
wasm,test_protocol,50,15,1024,16,23548881,1266763,7394.0,35016178
wasm,test_protocol,50,15,1024,256,23561168,1266763,7534.6,35028467
wasm,test_protocol,50,15,1024,1024,23593971,1266763,7596.599,34799168
wasm,test_protocol,50,15,1024,2048,23634932,1266763,7637.399,35102297
wasm,test_protocol,50,15,2048,16,34211827,1398859,9346.0,45816516
wasm,test_protocol,50,15,2048,256,34224112,1398859,9474.199,45566659
wasm,test_protocol,50,15,2048,1024,34252783,1398859,9668.699,45857492
wasm,test_protocol,50,15,2048,2048,34293741,1398859,9471.4,45898458
wasm,test_protocol,50,20,1024,16,23548880,1266763,7959.4,35016177
wasm,test_protocol,50,20,1024,256,23561171,1266763,7997.299,35028470
wasm,test_protocol,50,20,1024,1024,23593969,1266763,8022.3,35061310
wasm,test_protocol,50,20,1024,2048,23634928,1266762,8210.8,35102292
wasm,test_protocol,50,20,2048,16,34211822,1398859,9887.0,45816511
wasm,test_protocol,50,20,2048,256,34224113,1398859,9864.9,45828804
wasm,test_protocol,50,20,2048,1024,34252785,1398859,9988.399,45857494
wasm,test_protocol,50,20,2048,2048,34293745,1398859,9950.5,45898462
wasm,test_protocol,100,10,1024,16,23548879,1266763,5273.5,35016176
wasm,test_protocol,100,10,1024,256,23561164,1266763,5272.1,35028463
wasm,test_protocol,100,10,1024,1024,23593970,1266763,5378.099,35061311
wasm,test_protocol,100,10,1024,2048,23634926,1266763,5474.9,35102291
wasm,test_protocol,100,10,2048,16,34211825,1398859,6274.1,45816514
wasm,test_protocol,100,10,2048,256,34224114,1398859,6299.099,45828805
wasm,test_protocol,100,10,2048,1024,34252785,1398859,6156.599,45857494
wasm,test_protocol,100,10,2048,2048,34293747,1398859,6337.0,45898464
wasm,test_protocol,100,15,1024,16,23548886,1266763,5665.6,35016183
wasm,test_protocol,100,15,1024,256,23561170,1266763,5768.399,35028469
wasm,test_protocol,100,15,1024,1024,23593969,1266763,5871.399,35061310
wasm,test_protocol,100,15,1024,2048,23634931,1266763,5872.6,35102296
wasm,test_protocol,100,15,2048,16,34211821,1398859,6793.099,45816510
wasm,test_protocol,100,15,2048,256,34224115,1398859,6776.399,46090950
wasm,test_protocol,100,15,2048,1024,34252783,1398859,6761.3,45857492
wasm,test_protocol,100,15,2048,2048,34293744,1398859,6907.1,45898461
wasm,test_protocol,100,20,1024,16,23548881,1266763,6185.3,35016178
wasm,test_protocol,100,20,1024,256,23561170,1266763,6266.9,35028469
wasm,test_protocol,100,20,1024,1024,23593971,1266763,6161.599,35061312
wasm,test_protocol,100,20,1024,2048,23634926,1266763,6219.399,35102291
wasm,test_protocol,100,20,2048,16,34211824,1398859,7107.099,45816513
wasm,test_protocol,100,20,2048,256,34224112,1398859,7144.6,45828803
wasm,test_protocol,100,20,2048,1024,34252785,1398859,7250.3,45857494
wasm,test_protocol,100,20,2048,2048,34293743,1398858,7178.9,45898459
wasm,test_protocol,200,10,1024,16,23548881,1266763,4661.6,35016178
wasm,test_protocol,200,10,1024,256,23561173,1266763,4213.599,35028472
wasm,test_protocol,200,10,1024,1024,23593970,1266763,4455.8,35061311
wasm,test_protocol,200,10,1024,2048,23634925,1266763,4406.1,35102290
wasm,test_protocol,200,10,2048,16,34211823,1398859,4975.1,45816512
wasm,test_protocol,200,10,2048,256,34224111,1398859,4962.599,45828802
wasm,test_protocol,200,10,2048,1024,34252783,1398859,4975.0,45857492
wasm,test_protocol,200,10,2048,2048,34293746,1398858,5052.199,45898462
wasm,test_protocol,200,15,1024,16,23548878,1266763,4747.299,35016175
wasm,test_protocol,200,15,1024,256,23561166,1266763,4724.3,35028465
wasm,test_protocol,200,15,1024,1024,23593971,1266763,4716.3,35061312
wasm,test_protocol,200,15,1024,2048,23634930,1266763,4819.699,35102295
wasm,test_protocol,200,15,2048,16,34211827,1398859,5245.3,45816516
wasm,test_protocol,200,15,2048,256,34224114,1398858,5586.199,45828804
wasm,test_protocol,200,15,2048,1024,34252785,1398859,5483.699,45857494
wasm,test_protocol,200,15,2048,2048,34293744,1398859,5512.5,45898461
wasm,test_protocol,200,20,1024,16,23548881,1266763,5136.0,35016178
wasm,test_protocol,200,20,1024,256,23561171,1266763,5075.3,35028470
wasm,test_protocol,200,20,1024,1024,23593970,1266763,5333.5,35061311
wasm,test_protocol,200,20,1024,2048,23634930,1266763,5114.8,35102295
wasm,test_protocol,200,20,2048,16,34211825,1398858,5907.6,45816513
wasm,test_protocol,200,20,2048,256,34224111,1398859,5665.3,45828802
wasm,test_protocol,200,20,2048,1024,34252785,1398859,5867.1,45857494
wasm,test_protocol,200,20,2048,2048,34293744,1398859,5988.3,45898461
